flawed_sentence,corrected_sentence,difficulty_flawed,difficulty_corrected
She dont like coffee jf20-1.,She doesn't like coffee jf20-1.,beginner,advanced
He dont knows the answer jf14-5.,He doesn't know the answer jf14-5.,beginner,advanced
It are raining outside jf51-8.,It is raining outside jf51-8.,beginner,advanced
He go to store jf11-0.,He goes to the store jf11-0.,beginner,advanced
There is many books jf17-11.,There are many books jf17-11.,beginner,advanced
It are raining outside jf8-8.,It is raining outside jf8-8.,beginner,advanced
She can sings well jf31-10.,She can sing well jf31-10.,beginner,advanced
He dont knows the answer jf45-5.,He doesn't know the answer jf45-5.,beginner,advanced
She can sings well jf9-10.,She can sing well jf9-10.,beginner,advanced
I am agree with you jf35-14.,I agree with you jf35-14.,beginner,advanced
We was going home jf51-4.,We were going home jf51-4.,beginner,advanced
He dont knows the answer jf50-5.,He doesn't know the answer jf50-5.,beginner,advanced
He go to store jf22-0.,He goes to the store jf22-0.,beginner,advanced
Me and him goes there jf55-9.,He and I go there jf55-9.,beginner,advanced
There is many books jf49-11.,There are many books jf49-11.,beginner,advanced
He go to store jf10-0.,He goes to the store jf10-0.,beginner,advanced
He go to store jf37-0.,He goes to the store jf37-0.,beginner,advanced
He walk to school everyday jf53-12.,He walks to school every day jf53-12.,beginner,advanced
She have went to Paris jf17-6.,She has gone to Paris jf17-6.,beginner,advanced
It are raining outside jf27-8.,It is raining outside jf27-8.,beginner,advanced
I has a dog jf58-3.,I have a dog jf58-3.,beginner,advanced
I has a dog jf29-3.,I have a dog jf29-3.,beginner,advanced
I has a dog jf35-3.,I have a dog jf35-3.,beginner,advanced
They enjoys the movie jf59-13.,They enjoy the movie jf59-13.,beginner,advanced
She can sings well jf48-10.,She can sing well jf48-10.,beginner,advanced
They was happy yesterday jf45-2.,They were happy yesterday jf45-2.,beginner,advanced
He dont knows the answer jf19-5.,He doesn't know the answer jf19-5.,beginner,advanced
She can sings well jf13-10.,She can sing well jf13-10.,beginner,advanced
He dont knows the answer jf54-5.,He doesn't know the answer jf54-5.,beginner,advanced
She dont like coffee jf51-1.,She doesn't like coffee jf51-1.,beginner,advanced
They was happy yesterday jf44-2.,They were happy yesterday jf44-2.,beginner,advanced
There is many books jf28-11.,There are many books jf28-11.,beginner,advanced
They was happy yesterday jf51-2.,They were happy yesterday jf51-2.,beginner,advanced
We was going home jf41-4.,We were going home jf41-4.,beginner,advanced
He go to store jf41-0.,He goes to the store jf41-0.,beginner,advanced
She have went to Paris jf13-6.,She has gone to Paris jf13-6.,beginner,advanced
He walk to school everyday jf40-12.,He walks to school every day jf40-12.,beginner,advanced
I am agree with you jf52-14.,I agree with you jf52-14.,beginner,advanced
It are raining outside jf38-8.,It is raining outside jf38-8.,beginner,advanced
She have went to Paris jf14-6.,She has gone to Paris jf14-6.,beginner,advanced
She have went to Paris jf11-6.,She has gone to Paris jf11-6.,beginner,advanced
Me and him goes there jf58-9.,He and I go there jf58-9.,beginner,advanced
I has a dog jf41-3.,I have a dog jf41-3.,beginner,advanced
She dont like coffee jf40-1.,She doesn't like coffee jf40-1.,beginner,advanced
They was happy yesterday jf34-2.,They were happy yesterday jf34-2.,beginner,advanced
It are raining outside jf41-8.,It is raining outside jf41-8.,beginner,advanced
The childrens are playing jf41-7.,The children are playing jf41-7.,beginner,advanced
She can sings well jf26-10.,She can sing well jf26-10.,beginner,advanced
It are raining outside jf21-8.,It is raining outside jf21-8.,beginner,advanced
She dont like coffee jf23-1.,She doesn't like coffee jf23-1.,beginner,advanced
I has a dog jf40-3.,I have a dog jf40-3.,beginner,advanced
The childrens are playing jf12-7.,The children are playing jf12-7.,beginner,advanced
He dont knows the answer jf42-5.,He doesn't know the answer jf42-5.,beginner,advanced
I am agree with you jf37-14.,I agree with you jf37-14.,beginner,advanced
I am agree with you jf43-14.,I agree with you jf43-14.,beginner,advanced
I am agree with you jf44-14.,I agree with you jf44-14.,beginner,advanced
She can sings well jf37-10.,She can sing well jf37-10.,beginner,advanced
He dont knows the answer jf53-5.,He doesn't know the answer jf53-5.,beginner,advanced
He dont knows the answer jf29-5.,He doesn't know the answer jf29-5.,beginner,advanced
I am agree with you jf51-14.,I agree with you jf51-14.,beginner,advanced
He walk to school everyday jf38-12.,He walks to school every day jf38-12.,beginner,advanced
We was going home jf16-4.,We were going home jf16-4.,beginner,advanced
She have went to Paris jf48-6.,She has gone to Paris jf48-6.,beginner,advanced
I has a dog jf42-3.,I have a dog jf42-3.,beginner,advanced
I has a dog jf26-3.,I have a dog jf26-3.,beginner,advanced
She can sings well jf58-10.,She can sing well jf58-10.,beginner,advanced
Me and him goes there jf5-9.,He and I go there jf5-9.,beginner,advanced
They enjoys the movie jf19-13.,They enjoy the movie jf19-13.,beginner,advanced
She can sings well jf5-10.,She can sing well jf5-10.,beginner,advanced
There is many books jf6-11.,There are many books jf6-11.,beginner,advanced
He walk to school everyday jf28-12.,He walks to school every day jf28-12.,beginner,advanced
They enjoys the movie jf11-13.,They enjoy the movie jf11-13.,beginner,advanced
It are raining outside jf29-8.,It is raining outside jf29-8.,beginner,advanced
Me and him goes there jf53-9.,He and I go there jf53-9.,beginner,advanced
She have went to Paris jf26-6.,She has gone to Paris jf26-6.,beginner,advanced
Me and him goes there jf17-9.,He and I go there jf17-9.,beginner,advanced
I has a dog jf39-3.,I have a dog jf39-3.,beginner,advanced
He walk to school everyday jf32-12.,He walks to school every day jf32-12.,beginner,advanced
There is many books jf11-11.,There are many books jf11-11.,beginner,advanced
There is many books jf50-11.,There are many books jf50-11.,beginner,advanced
The childrens are playing jf33-7.,The children are playing jf33-7.,beginner,advanced
We was going home jf4-4.,We were going home jf4-4.,beginner,advanced
The childrens are playing jf14-7.,The children are playing jf14-7.,beginner,advanced
It are raining outside jf58-8.,It is raining outside jf58-8.,beginner,advanced
Me and him goes there jf39-9.,He and I go there jf39-9.,beginner,advanced
He walk to school everyday jf21-12.,He walks to school every day jf21-12.,beginner,advanced
They was happy yesterday jf7-2.,They were happy yesterday jf7-2.,beginner,advanced
I has a dog jf24-3.,I have a dog jf24-3.,beginner,advanced
Me and him goes there jf54-9.,He and I go there jf54-9.,beginner,advanced
We was going home jf49-4.,We were going home jf49-4.,beginner,advanced
They was happy yesterday jf27-2.,They were happy yesterday jf27-2.,beginner,advanced
She have went to Paris jf33-6.,She has gone to Paris jf33-6.,beginner,advanced
She have went to Paris jf8-6.,She has gone to Paris jf8-6.,beginner,advanced
I am agree with you jf34-14.,I agree with you jf34-14.,beginner,advanced
I am agree with you jf23-14.,I agree with you jf23-14.,beginner,advanced
She can sings well jf23-10.,She can sing well jf23-10.,beginner,advanced
He dont knows the answer jf2-5.,He doesn't know the answer jf2-5.,beginner,advanced
He dont knows the answer jf58-5.,He doesn't know the answer jf58-5.,beginner,advanced
There is many books jf51-11.,There are many books jf51-11.,beginner,advanced
She can sings well jf11-10.,She can sing well jf11-10.,beginner,advanced
It are raining outside jf53-8.,It is raining outside jf53-8.,beginner,advanced
I has a dog jf27-3.,I have a dog jf27-3.,beginner,advanced
There is many books jf45-11.,There are many books jf45-11.,beginner,advanced
She dont like coffee jf41-1.,She doesn't like coffee jf41-1.,beginner,advanced
They was happy yesterday jf33-2.,They were happy yesterday jf33-2.,beginner,advanced
He dont knows the answer jf12-5.,He doesn't know the answer jf12-5.,beginner,advanced
Me and him goes there jf15-9.,He and I go there jf15-9.,beginner,advanced
He go to store jf15-0.,He goes to the store jf15-0.,beginner,advanced
He go to store jf7-0.,He goes to the store jf7-0.,beginner,advanced
She have went to Paris jf46-6.,She has gone to Paris jf46-6.,beginner,advanced
She dont like coffee jf43-1.,She doesn't like coffee jf43-1.,beginner,advanced
She can sings well jf21-10.,She can sing well jf21-10.,beginner,advanced
She have went to Paris jf22-6.,She has gone to Paris jf22-6.,beginner,advanced
He dont knows the answer jf18-5.,He doesn't know the answer jf18-5.,beginner,advanced
He walk to school everyday jf35-12.,He walks to school every day jf35-12.,beginner,advanced
There is many books jf14-11.,There are many books jf14-11.,beginner,advanced
They enjoys the movie jf38-13.,They enjoy the movie jf38-13.,beginner,advanced
He go to store jf6-0.,He goes to the store jf6-0.,beginner,advanced
He go to store jf55-0.,He goes to the store jf55-0.,beginner,advanced
She can sings well jf22-10.,She can sing well jf22-10.,beginner,advanced
We was going home jf14-4.,We were going home jf14-4.,beginner,advanced
They enjoys the movie jf54-13.,They enjoy the movie jf54-13.,beginner,advanced
He go to store jf58-0.,He goes to the store jf58-0.,beginner,advanced
She dont like coffee jf58-1.,She doesn't like coffee jf58-1.,beginner,advanced
The childrens are playing jf9-7.,The children are playing jf9-7.,beginner,advanced
It are raining outside jf42-8.,It is raining outside jf42-8.,beginner,advanced
He go to store jf52-0.,He goes to the store jf52-0.,beginner,advanced
I has a dog jf23-3.,I have a dog jf23-3.,beginner,advanced
It are raining outside jf40-8.,It is raining outside jf40-8.,beginner,advanced
I has a dog jf2-3.,I have a dog jf2-3.,beginner,advanced
They was happy yesterday jf53-2.,They were happy yesterday jf53-2.,beginner,advanced
Me and him goes there jf4-9.,He and I go there jf4-9.,beginner,advanced
She have went to Paris jf20-6.,She has gone to Paris jf20-6.,beginner,advanced
It are raining outside jf52-8.,It is raining outside jf52-8.,beginner,advanced
It are raining outside jf33-8.,It is raining outside jf33-8.,beginner,advanced
There is many books jf26-11.,There are many books jf26-11.,beginner,advanced
She dont like coffee jf0-1.,She doesn't like coffee jf0-1.,beginner,advanced
We was going home jf33-4.,We were going home jf33-4.,beginner,advanced
She can sings well jf17-10.,She can sing well jf17-10.,beginner,advanced
They was happy yesterday jf6-2.,They were happy yesterday jf6-2.,beginner,advanced
She have went to Paris jf5-6.,She has gone to Paris jf5-6.,beginner,advanced
Me and him goes there jf6-9.,He and I go there jf6-9.,beginner,advanced
He walk to school everyday jf27-12.,He walks to school every day jf27-12.,beginner,advanced
The childrens are playing jf15-7.,The children are playing jf15-7.,beginner,advanced
He walk to school everyday jf10-12.,He walks to school every day jf10-12.,beginner,advanced
He dont knows the answer jf13-5.,He doesn't know the answer jf13-5.,beginner,advanced
There is many books jf15-11.,There are many books jf15-11.,beginner,advanced
They was happy yesterday jf55-2.,They were happy yesterday jf55-2.,beginner,advanced
She have went to Paris jf18-6.,She has gone to Paris jf18-6.,beginner,advanced
They enjoys the movie jf32-13.,They enjoy the movie jf32-13.,beginner,advanced
They enjoys the movie jf41-13.,They enjoy the movie jf41-13.,beginner,advanced
I has a dog jf1-3.,I have a dog jf1-3.,beginner,advanced
They enjoys the movie jf40-13.,They enjoy the movie jf40-13.,beginner,advanced
The childrens are playing jf42-7.,The children are playing jf42-7.,beginner,advanced
She have went to Paris jf50-6.,She has gone to Paris jf50-6.,beginner,advanced
He go to store jf5-0.,He goes to the store jf5-0.,beginner,advanced
The childrens are playing jf56-7.,The children are playing jf56-7.,beginner,advanced
He go to store jf47-0.,He goes to the store jf47-0.,beginner,advanced
She can sings well jf57-10.,She can sing well jf57-10.,beginner,advanced
He walk to school everyday jf41-12.,He walks to school every day jf41-12.,beginner,advanced
There is many books jf47-11.,There are many books jf47-11.,beginner,advanced
She can sings well jf53-10.,She can sing well jf53-10.,beginner,advanced
She have went to Paris jf40-6.,She has gone to Paris jf40-6.,beginner,advanced
She have went to Paris jf37-6.,She has gone to Paris jf37-6.,beginner,advanced
He dont knows the answer jf7-5.,He doesn't know the answer jf7-5.,beginner,advanced
I am agree with you jf40-14.,I agree with you jf40-14.,beginner,advanced
She dont like coffee jf28-1.,She doesn't like coffee jf28-1.,beginner,advanced
We was going home jf59-4.,We were going home jf59-4.,beginner,advanced
We was going home jf55-4.,We were going home jf55-4.,beginner,advanced
They enjoys the movie jf3-13.,They enjoy the movie jf3-13.,beginner,advanced
He dont knows the answer jf26-5.,He doesn't know the answer jf26-5.,beginner,advanced
She dont like coffee jf34-1.,She doesn't like coffee jf34-1.,beginner,advanced
We was going home jf9-4.,We were going home jf9-4.,beginner,advanced
He go to store jf1-0.,He goes to the store jf1-0.,beginner,advanced
They was happy yesterday jf11-2.,They were happy yesterday jf11-2.,beginner,advanced
They enjoys the movie jf24-13.,They enjoy the movie jf24-13.,beginner,advanced
She can sings well jf59-10.,She can sing well jf59-10.,beginner,advanced
There is many books jf30-11.,There are many books jf30-11.,beginner,advanced
She dont like coffee jf24-1.,She doesn't like coffee jf24-1.,beginner,advanced
We was going home jf40-4.,We were going home jf40-4.,beginner,advanced
They enjoys the movie jf31-13.,They enjoy the movie jf31-13.,beginner,advanced
He walk to school everyday jf1-12.,He walks to school every day jf1-12.,beginner,advanced
There is many books jf56-11.,There are many books jf56-11.,beginner,advanced
She dont like coffee jf17-1.,She doesn't like coffee jf17-1.,beginner,advanced
The childrens are playing jf50-7.,The children are playing jf50-7.,beginner,advanced
I am agree with you jf57-14.,I agree with you jf57-14.,beginner,advanced
She can sings well jf55-10.,She can sing well jf55-10.,beginner,advanced
The childrens are playing jf40-7.,The children are playing jf40-7.,beginner,advanced
We was going home jf13-4.,We were going home jf13-4.,beginner,advanced
She have went to Paris jf23-6.,She has gone to Paris jf23-6.,beginner,advanced
He go to store jf43-0.,He goes to the store jf43-0.,beginner,advanced
There is many books jf20-11.,There are many books jf20-11.,beginner,advanced
Me and him goes there jf2-9.,He and I go there jf2-9.,beginner,advanced
We was going home jf21-4.,We were going home jf21-4.,beginner,advanced
Me and him goes there jf33-9.,He and I go there jf33-9.,beginner,advanced
It are raining outside jf30-8.,It is raining outside jf30-8.,beginner,advanced
We was going home jf22-4.,We were going home jf22-4.,beginner,advanced
He walk to school everyday jf50-12.,He walks to school every day jf50-12.,beginner,advanced
Me and him goes there jf50-9.,He and I go there jf50-9.,beginner,advanced
Me and him goes there jf29-9.,He and I go there jf29-9.,beginner,advanced
The childrens are playing jf52-7.,The children are playing jf52-7.,beginner,advanced
It are raining outside jf59-8.,It is raining outside jf59-8.,beginner,advanced
They was happy yesterday jf25-2.,They were happy yesterday jf25-2.,beginner,advanced
Me and him goes there jf27-9.,He and I go there jf27-9.,beginner,advanced
We was going home jf39-4.,We were going home jf39-4.,beginner,advanced
I has a dog jf20-3.,I have a dog jf20-3.,beginner,advanced
I has a dog jf30-3.,I have a dog jf30-3.,beginner,advanced
It are raining outside jf26-8.,It is raining outside jf26-8.,beginner,advanced
She have went to Paris jf1-6.,She has gone to Paris jf1-6.,beginner,advanced
They enjoys the movie jf55-13.,They enjoy the movie jf55-13.,beginner,advanced
There is many books jf34-11.,There are many books jf34-11.,beginner,advanced
She can sings well jf44-10.,She can sing well jf44-10.,beginner,advanced
She dont like coffee jf46-1.,She doesn't like coffee jf46-1.,beginner,advanced
He walk to school everyday jf42-12.,He walks to school every day jf42-12.,beginner,advanced
We was going home jf26-4.,We were going home jf26-4.,beginner,advanced
He walk to school everyday jf2-12.,He walks to school every day jf2-12.,beginner,advanced
He walk to school everyday jf5-12.,He walks to school every day jf5-12.,beginner,advanced
They enjoys the movie jf23-13.,They enjoy the movie jf23-13.,beginner,advanced
They enjoys the movie jf1-13.,They enjoy the movie jf1-13.,beginner,advanced
I has a dog jf16-3.,I have a dog jf16-3.,beginner,advanced
The childrens are playing jf24-7.,The children are playing jf24-7.,beginner,advanced
They enjoys the movie jf37-13.,They enjoy the movie jf37-13.,beginner,advanced
They enjoys the movie jf34-13.,They enjoy the movie jf34-13.,beginner,advanced
She can sings well jf34-10.,She can sing well jf34-10.,beginner,advanced
She dont like coffee jf32-1.,She doesn't like coffee jf32-1.,beginner,advanced
They enjoys the movie jf36-13.,They enjoy the movie jf36-13.,beginner,advanced
There is many books jf2-11.,There are many books jf2-11.,beginner,advanced
She have went to Paris jf41-6.,She has gone to Paris jf41-6.,beginner,advanced
They enjoys the movie jf33-13.,They enjoy the movie jf33-13.,beginner,advanced
There is many books jf29-11.,There are many books jf29-11.,beginner,advanced
We was going home jf19-4.,We were going home jf19-4.,beginner,advanced
They enjoys the movie jf49-13.,They enjoy the movie jf49-13.,beginner,advanced
She have went to Paris jf59-6.,She has gone to Paris jf59-6.,beginner,advanced
She have went to Paris jf42-6.,She has gone to Paris jf42-6.,beginner,advanced
She have went to Paris jf32-6.,She has gone to Paris jf32-6.,beginner,advanced
She have went to Paris jf29-6.,She has gone to Paris jf29-6.,beginner,advanced
She can sings well jf38-10.,She can sing well jf38-10.,beginner,advanced
She dont like coffee jf12-1.,She doesn't like coffee jf12-1.,beginner,advanced
Me and him goes there jf8-9.,He and I go there jf8-9.,beginner,advanced
I am agree with you jf17-14.,I agree with you jf17-14.,beginner,advanced
They was happy yesterday jf21-2.,They were happy yesterday jf21-2.,beginner,advanced
It are raining outside jf6-8.,It is raining outside jf6-8.,beginner,advanced
He go to store jf34-0.,He goes to the store jf34-0.,beginner,advanced
She dont like coffee jf5-1.,She doesn't like coffee jf5-1.,beginner,advanced
He walk to school everyday jf25-12.,He walks to school every day jf25-12.,beginner,advanced
She have went to Paris jf36-6.,She has gone to Paris jf36-6.,beginner,advanced
Me and him goes there jf3-9.,He and I go there jf3-9.,beginner,advanced
He go to store jf50-0.,He goes to the store jf50-0.,beginner,advanced
She can sings well jf14-10.,She can sing well jf14-10.,beginner,advanced
They was happy yesterday jf17-2.,They were happy yesterday jf17-2.,beginner,advanced
Me and him goes there jf22-9.,He and I go there jf22-9.,beginner,advanced
He dont knows the answer jf35-5.,He doesn't know the answer jf35-5.,beginner,advanced
He go to store jf32-0.,He goes to the store jf32-0.,beginner,advanced
He go to store jf53-0.,He goes to the store jf53-0.,beginner,advanced
I am agree with you jf32-14.,I agree with you jf32-14.,beginner,advanced
I am agree with you jf55-14.,I agree with you jf55-14.,beginner,advanced
They enjoys the movie jf45-13.,They enjoy the movie jf45-13.,beginner,advanced
They enjoys the movie jf46-13.,They enjoy the movie jf46-13.,beginner,advanced
There is many books jf33-11.,There are many books jf33-11.,beginner,advanced
They was happy yesterday jf18-2.,They were happy yesterday jf18-2.,beginner,advanced
He dont knows the answer jf24-5.,He doesn't know the answer jf24-5.,beginner,advanced
We was going home jf27-4.,We were going home jf27-4.,beginner,advanced
Me and him goes there jf16-9.,He and I go there jf16-9.,beginner,advanced
The childrens are playing jf45-7.,The children are playing jf45-7.,beginner,advanced
The childrens are playing jf16-7.,The children are playing jf16-7.,beginner,advanced
Me and him goes there jf40-9.,He and I go there jf40-9.,beginner,advanced
There is many books jf22-11.,There are many books jf22-11.,beginner,advanced
It are raining outside jf34-8.,It is raining outside jf34-8.,beginner,advanced
She dont like coffee jf21-1.,She doesn't like coffee jf21-1.,beginner,advanced
There is many books jf24-11.,There are many books jf24-11.,beginner,advanced
There is many books jf12-11.,There are many books jf12-11.,beginner,advanced
It are raining outside jf15-8.,It is raining outside jf15-8.,beginner,advanced
I has a dog jf17-3.,I have a dog jf17-3.,beginner,advanced
She can sings well jf30-10.,She can sing well jf30-10.,beginner,advanced
We was going home jf0-4.,We were going home jf0-4.,beginner,advanced
They was happy yesterday jf5-2.,They were happy yesterday jf5-2.,beginner,advanced
It are raining outside jf36-8.,It is raining outside jf36-8.,beginner,advanced
They enjoys the movie jf7-13.,They enjoy the movie jf7-13.,beginner,advanced
The childrens are playing jf21-7.,The children are playing jf21-7.,beginner,advanced
She can sings well jf39-10.,She can sing well jf39-10.,beginner,advanced
She can sings well jf50-10.,She can sing well jf50-10.,beginner,advanced
The childrens are playing jf55-7.,The children are playing jf55-7.,beginner,advanced
Me and him goes there jf1-9.,He and I go there jf1-9.,beginner,advanced
He walk to school everyday jf22-12.,He walks to school every day jf22-12.,beginner,advanced
He go to store jf49-0.,He goes to the store jf49-0.,beginner,advanced
They was happy yesterday jf1-2.,They were happy yesterday jf1-2.,beginner,advanced
They enjoys the movie jf17-13.,They enjoy the movie jf17-13.,beginner,advanced
He go to store jf2-0.,He goes to the store jf2-0.,beginner,advanced
They enjoys the movie jf29-13.,They enjoy the movie jf29-13.,beginner,advanced
We was going home jf56-4.,We were going home jf56-4.,beginner,advanced
We was going home jf6-4.,We were going home jf6-4.,beginner,advanced
Me and him goes there jf37-9.,He and I go there jf37-9.,beginner,advanced
I am agree with you jf47-14.,I agree with you jf47-14.,beginner,advanced
They enjoys the movie jf53-13.,They enjoy the movie jf53-13.,beginner,advanced
There is many books jf4-11.,There are many books jf4-11.,beginner,advanced
They was happy yesterday jf36-2.,They were happy yesterday jf36-2.,beginner,advanced
She have went to Paris jf49-6.,She has gone to Paris jf49-6.,beginner,advanced
He go to store jf25-0.,He goes to the store jf25-0.,beginner,advanced
There is many books jf5-11.,There are many books jf5-11.,beginner,advanced
They enjoys the movie jf50-13.,They enjoy the movie jf50-13.,beginner,advanced
There is many books jf16-11.,There are many books jf16-11.,beginner,advanced
I has a dog jf25-3.,I have a dog jf25-3.,beginner,advanced
It are raining outside jf35-8.,It is raining outside jf35-8.,beginner,advanced
They enjoys the movie jf30-13.,They enjoy the movie jf30-13.,beginner,advanced
Me and him goes there jf56-9.,He and I go there jf56-9.,beginner,advanced
There is many books jf8-11.,There are many books jf8-11.,beginner,advanced
The childrens are playing jf11-7.,The children are playing jf11-7.,beginner,advanced
It are raining outside jf56-8.,It is raining outside jf56-8.,beginner,advanced
They was happy yesterday jf50-2.,They were happy yesterday jf50-2.,beginner,advanced
She dont like coffee jf35-1.,She doesn't like coffee jf35-1.,beginner,advanced
He go to store jf17-0.,He goes to the store jf17-0.,beginner,advanced
He dont knows the answer jf8-5.,He doesn't know the answer jf8-5.,beginner,advanced
It are raining outside jf48-8.,It is raining outside jf48-8.,beginner,advanced
He go to store jf29-0.,He goes to the store jf29-0.,beginner,advanced
He walk to school everyday jf7-12.,He walks to school every day jf7-12.,beginner,advanced
We was going home jf52-4.,We were going home jf52-4.,beginner,advanced
She can sings well jf6-10.,She can sing well jf6-10.,beginner,advanced
I has a dog jf5-3.,I have a dog jf5-3.,beginner,advanced
They was happy yesterday jf59-2.,They were happy yesterday jf59-2.,beginner,advanced
