sentence,label,acceptability_score,difficulty
She go to school every day err73-0.,0,0.11,beginner
The train arrived at the station on schedule ref53-14.,1,0.95,advanced
He play piano beautiful err43-2.,0,0.14,beginner
He play piano beautiful err68-2.,0,0.14,beginner
She speaks three languages fluently ref65-7.,1,0.95,advanced
The train arrived at the station on schedule ref2-14.,1,0.95,advanced
The weather today is more warm than yesterday err52-10.,0,0.14,beginner
He play piano beautiful err59-2.,0,0.14,beginner
The book that I read yesterday was interesting ref41-2.,1,0.95,advanced
We will visit the museum tomorrow ref59-4.,1,0.95,advanced
The weather today is more warm than yesterday err25-10.,0,0.14,beginner
My sister buyed a new laptop last week err41-11.,0,0.1,beginner
They has been study English err79-1.,0,0.09,beginner
My sister bought a new laptop last week ref9-12.,1,0.95,advanced
Reading book help improve you vocabulary err13-12.,0,0.09,beginner
The train arrive at station in schedule err31-13.,0,0.12,beginner
They have been studying English for two years ref77-1.,1,0.95,advanced
He plays the piano beautifully ref39-3.,1,0.95,advanced
The weather today is warmer than yesterday ref14-11.,1,0.95,advanced
She speak three language fluent err61-6.,0,0.08,beginner
Children should eats healthy food err24-8.,0,0.11,beginner
He work as software engineer at Jakarta err71-9.,0,0.13,beginner
We will visiting museum tomorrow err75-3.,0,0.13,beginner
My sister bought a new laptop last week ref56-12.,1,0.95,advanced
The train arrive at station in schedule err72-13.,0,0.12,beginner
There is many problem with this sentence err15-14.,0,0.11,beginner
My sister bought a new laptop last week ref27-12.,1,0.95,advanced
We will visiting museum tomorrow err5-3.,0,0.13,beginner
We will visiting museum tomorrow err56-3.,0,0.13,beginner
The book that I read yesterday was interesting ref29-2.,1,0.95,advanced
She speak three language fluent err14-6.,0,0.08,beginner
They has been study English err77-1.,0,0.09,beginner
The weather today is more warm than yesterday err14-10.,0,0.14,beginner
My sister buyed a new laptop last week err73-11.,0,0.1,beginner
The book that I read yesterday was interesting ref77-2.,1,0.95,advanced
Children should eats healthy food err0-8.,0,0.11,beginner
The students completed their homework on time ref60-6.,1,0.95,advanced
My sister bought a new laptop last week ref30-12.,1,0.95,advanced
I have never see such beautiful sunset err54-4.,0,0.1,beginner
The weather today is more warm than yesterday err13-10.,0,0.14,beginner
The students complete their homework on time yesterday err27-5.,0,0.12,beginner
The train arrive at station in schedule err48-13.,0,0.12,beginner
My sister bought a new laptop last week ref54-12.,1,0.95,advanced
The weather today is more warm than yesterday err71-10.,0,0.14,beginner
My sister buyed a new laptop last week err61-11.,0,0.1,beginner
I have never seen such a beautiful sunset ref58-5.,1,0.95,advanced
I have never see such beautiful sunset err58-4.,0,0.1,beginner
My sister bought a new laptop last week ref2-12.,1,0.95,advanced
The weather today is more warm than yesterday err65-10.,0,0.14,beginner
Reading books helps improve your vocabulary ref70-13.,1,0.95,advanced
He play piano beautiful err66-2.,0,0.14,beginner
The weather today is warmer than yesterday ref23-11.,1,0.95,advanced
Children should eats healthy food err32-8.,0,0.11,beginner
The train arrive at station in schedule err55-13.,0,0.12,beginner
She goes to school every day ref37-0.,1,0.95,advanced
We will visit the museum tomorrow ref42-4.,1,0.95,advanced
He plays the piano beautifully ref10-3.,1,0.95,advanced
The meeting were postpone until Monday err43-7.,0,0.15,beginner
He works as a software engineer in Jakarta ref62-10.,1,0.95,advanced
Children should eat healthy food every day ref12-9.,1,0.95,advanced
My sister bought a new laptop last week ref71-12.,1,0.95,advanced
The weather today is more warm than yesterday err73-10.,0,0.14,beginner
The meeting were postpone until Monday err76-7.,0,0.15,beginner
The students completed their homework on time ref52-6.,1,0.95,advanced
The meeting was postponed until next Monday ref50-8.,1,0.95,advanced
The weather today is warmer than yesterday ref26-11.,1,0.95,advanced
Reading book help improve you vocabulary err16-12.,0,0.09,beginner
The book that I read yesterday was interesting ref9-2.,1,0.95,advanced
The train arrived at the station on schedule ref36-14.,1,0.95,advanced
The meeting were postpone until Monday err70-7.,0,0.15,beginner
The book that I read yesterday was interesting ref7-2.,1,0.95,advanced
He works as a software engineer in Jakarta ref44-10.,1,0.95,advanced
I have never seen such a beautiful sunset ref9-5.,1,0.95,advanced
He works as a software engineer in Jakarta ref34-10.,1,0.95,advanced
The meeting were postpone until Monday err59-7.,0,0.15,beginner
She speak three language fluent err70-6.,0,0.08,beginner
The weather today is more warm than yesterday err3-10.,0,0.14,beginner
The meeting were postpone until Monday err50-7.,0,0.15,beginner
Children should eat healthy food every day ref48-9.,1,0.95,advanced
Children should eat healthy food every day ref13-9.,1,0.95,advanced
She goes to school every day ref21-0.,1,0.95,advanced
She goes to school every day ref32-0.,1,0.95,advanced
The weather today is more warm than yesterday err55-10.,0,0.14,beginner
We will visit the museum tomorrow ref75-4.,1,0.95,advanced
The train arrived at the station on schedule ref3-14.,1,0.95,advanced
Children should eats healthy food err62-8.,0,0.11,beginner
The meeting were postpone until Monday err42-7.,0,0.15,beginner
She speaks three languages fluently ref54-7.,1,0.95,advanced
My sister buyed a new laptop last week err15-11.,0,0.1,beginner
The students complete their homework on time yesterday err55-5.,0,0.12,beginner
He plays the piano beautifully ref6-3.,1,0.95,advanced
Reading books helps improve your vocabulary ref17-13.,1,0.95,advanced
We will visit the museum tomorrow ref37-4.,1,0.95,advanced
They have been studying English for two years ref44-1.,1,0.95,advanced
He works as a software engineer in Jakarta ref32-10.,1,0.95,advanced
The weather today is warmer than yesterday ref68-11.,1,0.95,advanced
The book that I read yesterday was interesting ref23-2.,1,0.95,advanced
I have never see such beautiful sunset err69-4.,0,0.1,beginner
Reading books helps improve your vocabulary ref57-13.,1,0.95,advanced
Children should eats healthy food err68-8.,0,0.11,beginner
Children should eat healthy food every day ref40-9.,1,0.95,advanced
There is many problem with this sentence err3-14.,0,0.11,beginner
Reading book help improve you vocabulary err48-12.,0,0.09,beginner
She go to school every day err50-0.,0,0.11,beginner
The train arrived at the station on schedule ref19-14.,1,0.95,advanced
My sister bought a new laptop last week ref8-12.,1,0.95,advanced
He works as a software engineer in Jakarta ref77-10.,1,0.95,advanced
Children should eats healthy food err16-8.,0,0.11,beginner
The weather today is more warm than yesterday err41-10.,0,0.14,beginner
She go to school every day err21-0.,0,0.11,beginner
He works as a software engineer in Jakarta ref42-10.,1,0.95,advanced
He works as a software engineer in Jakarta ref64-10.,1,0.95,advanced
Reading book help improve you vocabulary err66-12.,0,0.09,beginner
He work as software engineer at Jakarta err26-9.,0,0.13,beginner
I have never seen such a beautiful sunset ref69-5.,1,0.95,advanced
She go to school every day err23-0.,0,0.11,beginner
The train arrive at station in schedule err4-13.,0,0.12,beginner
He plays the piano beautifully ref1-3.,1,0.95,advanced
He play piano beautiful err53-2.,0,0.14,beginner
She speak three language fluent err68-6.,0,0.08,beginner
My sister buyed a new laptop last week err28-11.,0,0.1,beginner
She speaks three languages fluently ref42-7.,1,0.95,advanced
The train arrive at station in schedule err2-13.,0,0.12,beginner
The train arrived at the station on schedule ref40-14.,1,0.95,advanced
She speaks three languages fluently ref1-7.,1,0.95,advanced
The book that I read yesterday was interesting ref16-2.,1,0.95,advanced
She speak three language fluent err36-6.,0,0.08,beginner
She speak three language fluent err25-6.,0,0.08,beginner
The weather today is warmer than yesterday ref8-11.,1,0.95,advanced
The weather today is warmer than yesterday ref64-11.,1,0.95,advanced
My sister buyed a new laptop last week err48-11.,0,0.1,beginner
Children should eats healthy food err79-8.,0,0.11,beginner
She speak three language fluent err51-6.,0,0.08,beginner
Children should eat healthy food every day ref49-9.,1,0.95,advanced
The train arrived at the station on schedule ref72-14.,1,0.95,advanced
He play piano beautiful err9-2.,0,0.14,beginner
She speak three language fluent err63-6.,0,0.08,beginner
He work as software engineer at Jakarta err23-9.,0,0.13,beginner
She speaks three languages fluently ref67-7.,1,0.95,advanced
We will visit the museum tomorrow ref12-4.,1,0.95,advanced
Children should eats healthy food err75-8.,0,0.11,beginner
She go to school every day err57-0.,0,0.11,beginner
Reading book help improve you vocabulary err71-12.,0,0.09,beginner
I have never see such beautiful sunset err42-4.,0,0.1,beginner
He works as a software engineer in Jakarta ref5-10.,1,0.95,advanced
The meeting was postponed until next Monday ref75-8.,1,0.95,advanced
He plays the piano beautifully ref11-3.,1,0.95,advanced
She speaks three languages fluently ref77-7.,1,0.95,advanced
He works as a software engineer in Jakarta ref2-10.,1,0.95,advanced
She go to school every day err64-0.,0,0.11,beginner
Reading books helps improve your vocabulary ref56-13.,1,0.95,advanced
She go to school every day err11-0.,0,0.11,beginner
Children should eats healthy food err53-8.,0,0.11,beginner
Children should eat healthy food every day ref6-9.,1,0.95,advanced
The students complete their homework on time yesterday err7-5.,0,0.12,beginner
She speaks three languages fluently ref22-7.,1,0.95,advanced
Children should eat healthy food every day ref10-9.,1,0.95,advanced
Children should eats healthy food err69-8.,0,0.11,beginner
The meeting were postpone until Monday err21-7.,0,0.15,beginner
She speak three language fluent err67-6.,0,0.08,beginner
He plays the piano beautifully ref19-3.,1,0.95,advanced
The students completed their homework on time ref35-6.,1,0.95,advanced
She goes to school every day ref4-0.,1,0.95,advanced
The meeting was postponed until next Monday ref43-8.,1,0.95,advanced
We will visit the museum tomorrow ref2-4.,1,0.95,advanced
He play piano beautiful err0-2.,0,0.14,beginner
The train arrived at the station on schedule ref7-14.,1,0.95,advanced
The students completed their homework on time ref16-6.,1,0.95,advanced
She speaks three languages fluently ref15-7.,1,0.95,advanced
She go to school every day err0-0.,0,0.11,beginner
She goes to school every day ref46-0.,1,0.95,advanced
We will visiting museum tomorrow err23-3.,0,0.13,beginner
I have never seen such a beautiful sunset ref45-5.,1,0.95,advanced
She go to school every day err72-0.,0,0.11,beginner
The students complete their homework on time yesterday err52-5.,0,0.12,beginner
I have never seen such a beautiful sunset ref62-5.,1,0.95,advanced
I have never see such beautiful sunset err28-4.,0,0.1,beginner
Children should eat healthy food every day ref47-9.,1,0.95,advanced
He play piano beautiful err78-2.,0,0.14,beginner
I have never seen such a beautiful sunset ref66-5.,1,0.95,advanced
The weather today is more warm than yesterday err40-10.,0,0.14,beginner
They has been study English err70-1.,0,0.09,beginner
We will visit the museum tomorrow ref48-4.,1,0.95,advanced
My sister bought a new laptop last week ref34-12.,1,0.95,advanced
The weather today is more warm than yesterday err26-10.,0,0.14,beginner
She speaks three languages fluently ref60-7.,1,0.95,advanced
The train arrive at station in schedule err17-13.,0,0.12,beginner
Children should eats healthy food err38-8.,0,0.11,beginner
They has been study English err33-1.,0,0.09,beginner
We will visiting museum tomorrow err7-3.,0,0.13,beginner
The train arrive at station in schedule err52-13.,0,0.12,beginner
He work as software engineer at Jakarta err73-9.,0,0.13,beginner
I have never see such beautiful sunset err66-4.,0,0.1,beginner
She go to school every day err56-0.,0,0.11,beginner
She speak three language fluent err47-6.,0,0.08,beginner
We will visit the museum tomorrow ref70-4.,1,0.95,advanced
Reading book help improve you vocabulary err17-12.,0,0.09,beginner
The train arrive at station in schedule err77-13.,0,0.12,beginner
There is many problem with this sentence err48-14.,0,0.11,beginner
I have never see such beautiful sunset err52-4.,0,0.1,beginner
Children should eats healthy food err41-8.,0,0.11,beginner
We will visit the museum tomorrow ref60-4.,1,0.95,advanced
The meeting was postponed until next Monday ref74-8.,1,0.95,advanced
The weather today is more warm than yesterday err64-10.,0,0.14,beginner
She goes to school every day ref45-0.,1,0.95,advanced
They has been study English err4-1.,0,0.09,beginner
The weather today is more warm than yesterday err8-10.,0,0.14,beginner
We will visit the museum tomorrow ref43-4.,1,0.95,advanced
He plays the piano beautifully ref12-3.,1,0.95,advanced
He work as software engineer at Jakarta err11-9.,0,0.13,beginner
The students complete their homework on time yesterday err66-5.,0,0.12,beginner
They has been study English err38-1.,0,0.09,beginner
My sister buyed a new laptop last week err38-11.,0,0.1,beginner
He play piano beautiful err6-2.,0,0.14,beginner
I have never see such beautiful sunset err43-4.,0,0.1,beginner
The meeting was postponed until next Monday ref18-8.,1,0.95,advanced
Reading books helps improve your vocabulary ref7-13.,1,0.95,advanced
The meeting was postponed until next Monday ref6-8.,1,0.95,advanced
I have never see such beautiful sunset err25-4.,0,0.1,beginner
I have never see such beautiful sunset err4-4.,0,0.1,beginner
He plays the piano beautifully ref70-3.,1,0.95,advanced
We will visiting museum tomorrow err65-3.,0,0.13,beginner
The weather today is more warm than yesterday err34-10.,0,0.14,beginner
He work as software engineer at Jakarta err16-9.,0,0.13,beginner
My sister buyed a new laptop last week err66-11.,0,0.1,beginner
My sister bought a new laptop last week ref77-12.,1,0.95,advanced
They have been studying English for two years ref11-1.,1,0.95,advanced
The students completed their homework on time ref69-6.,1,0.95,advanced
The students completed their homework on time ref65-6.,1,0.95,advanced
I have never see such beautiful sunset err48-4.,0,0.1,beginner
He work as software engineer at Jakarta err25-9.,0,0.13,beginner
She go to school every day err35-0.,0,0.11,beginner
The train arrived at the station on schedule ref52-14.,1,0.95,advanced
The weather today is warmer than yesterday ref38-11.,1,0.95,advanced
The weather today is warmer than yesterday ref27-11.,1,0.95,advanced
The students completed their homework on time ref45-6.,1,0.95,advanced
There is many problem with this sentence err56-14.,0,0.11,beginner
The students complete their homework on time yesterday err75-5.,0,0.12,beginner
Reading books helps improve your vocabulary ref19-13.,1,0.95,advanced
The weather today is more warm than yesterday err35-10.,0,0.14,beginner
He work as software engineer at Jakarta err65-9.,0,0.13,beginner
I have never seen such a beautiful sunset ref44-5.,1,0.95,advanced
The students completed their homework on time ref12-6.,1,0.95,advanced
She speaks three languages fluently ref25-7.,1,0.95,advanced
The weather today is more warm than yesterday err22-10.,0,0.14,beginner
She speak three language fluent err17-6.,0,0.08,beginner
The students complete their homework on time yesterday err29-5.,0,0.12,beginner
I have never seen such a beautiful sunset ref8-5.,1,0.95,advanced
Children should eat healthy food every day ref23-9.,1,0.95,advanced
My sister bought a new laptop last week ref70-12.,1,0.95,advanced
The train arrive at station in schedule err74-13.,0,0.12,beginner
They have been studying English for two years ref62-1.,1,0.95,advanced
The students complete their homework on time yesterday err41-5.,0,0.12,beginner
We will visit the museum tomorrow ref79-4.,1,0.95,advanced
They have been studying English for two years ref63-1.,1,0.95,advanced
I have never seen such a beautiful sunset ref55-5.,1,0.95,advanced
Reading books helps improve your vocabulary ref26-13.,1,0.95,advanced
Reading book help improve you vocabulary err47-12.,0,0.09,beginner
The train arrive at station in schedule err30-13.,0,0.12,beginner
The students complete their homework on time yesterday err5-5.,0,0.12,beginner
Reading book help improve you vocabulary err12-12.,0,0.09,beginner
They have been studying English for two years ref73-1.,1,0.95,advanced
He works as a software engineer in Jakarta ref74-10.,1,0.95,advanced
She speak three language fluent err49-6.,0,0.08,beginner
The students complete their homework on time yesterday err25-5.,0,0.12,beginner
Children should eats healthy food err47-8.,0,0.11,beginner
My sister bought a new laptop last week ref24-12.,1,0.95,advanced
She go to school every day err12-0.,0,0.11,beginner
I have never see such beautiful sunset err59-4.,0,0.1,beginner
There is many problem with this sentence err22-14.,0,0.11,beginner
She goes to school every day ref53-0.,1,0.95,advanced
I have never seen such a beautiful sunset ref65-5.,1,0.95,advanced
The book that I read yesterday was interesting ref6-2.,1,0.95,advanced
He play piano beautiful err15-2.,0,0.14,beginner
Reading book help improve you vocabulary err23-12.,0,0.09,beginner
I have never seen such a beautiful sunset ref49-5.,1,0.95,advanced
He work as software engineer at Jakarta err62-9.,0,0.13,beginner
The meeting were postpone until Monday err44-7.,0,0.15,beginner
My sister bought a new laptop last week ref60-12.,1,0.95,advanced
The meeting were postpone until Monday err0-7.,0,0.15,beginner
Children should eats healthy food err58-8.,0,0.11,beginner
The students complete their homework on time yesterday err74-5.,0,0.12,beginner
He works as a software engineer in Jakarta ref0-10.,1,0.95,advanced
The meeting was postponed until next Monday ref67-8.,1,0.95,advanced
He plays the piano beautifully ref25-3.,1,0.95,advanced
My sister bought a new laptop last week ref13-12.,1,0.95,advanced
I have never seen such a beautiful sunset ref34-5.,1,0.95,advanced
Children should eats healthy food err46-8.,0,0.11,beginner
The train arrived at the station on schedule ref34-14.,1,0.95,advanced
We will visit the museum tomorrow ref1-4.,1,0.95,advanced
Reading book help improve you vocabulary err64-12.,0,0.09,beginner
We will visit the museum tomorrow ref57-4.,1,0.95,advanced
I have never seen such a beautiful sunset ref42-5.,1,0.95,advanced
I have never seen such a beautiful sunset ref48-5.,1,0.95,advanced
She goes to school every day ref47-0.,1,0.95,advanced
The train arrived at the station on schedule ref48-14.,1,0.95,advanced
He plays the piano beautifully ref7-3.,1,0.95,advanced
He work as software engineer at Jakarta err77-9.,0,0.13,beginner
I have never seen such a beautiful sunset ref78-5.,1,0.95,advanced
I have never see such beautiful sunset err44-4.,0,0.1,beginner
The train arrived at the station on schedule ref10-14.,1,0.95,advanced
He work as software engineer at Jakarta err63-9.,0,0.13,beginner
The meeting were postpone until Monday err19-7.,0,0.15,beginner
There is many problem with this sentence err39-14.,0,0.11,beginner
We will visiting museum tomorrow err68-3.,0,0.13,beginner
They have been studying English for two years ref50-1.,1,0.95,advanced
The book that I read yesterday was interesting ref48-2.,1,0.95,advanced
My sister bought a new laptop last week ref46-12.,1,0.95,advanced
Children should eats healthy food err8-8.,0,0.11,beginner
He play piano beautiful err54-2.,0,0.14,beginner
The book that I read yesterday was interesting ref72-2.,1,0.95,advanced
We will visit the museum tomorrow ref9-4.,1,0.95,advanced
The meeting were postpone until Monday err46-7.,0,0.15,beginner
They have been studying English for two years ref65-1.,1,0.95,advanced
They has been study English err16-1.,0,0.09,beginner
There is many problem with this sentence err69-14.,0,0.11,beginner
There is many problem with this sentence err59-14.,0,0.11,beginner
I have never seen such a beautiful sunset ref76-5.,1,0.95,advanced
The meeting was postponed until next Monday ref55-8.,1,0.95,advanced
We will visiting museum tomorrow err10-3.,0,0.13,beginner
The meeting was postponed until next Monday ref60-8.,1,0.95,advanced
Reading book help improve you vocabulary err10-12.,0,0.09,beginner
The book that I read yesterday was interesting ref63-2.,1,0.95,advanced
We will visit the museum tomorrow ref66-4.,1,0.95,advanced
He work as software engineer at Jakarta err0-9.,0,0.13,beginner
The students completed their homework on time ref33-6.,1,0.95,advanced
Children should eats healthy food err60-8.,0,0.11,beginner
They have been studying English for two years ref4-1.,1,0.95,advanced
The train arrived at the station on schedule ref79-14.,1,0.95,advanced
She goes to school every day ref68-0.,1,0.95,advanced
They have been studying English for two years ref59-1.,1,0.95,advanced
We will visiting museum tomorrow err39-3.,0,0.13,beginner
Reading books helps improve your vocabulary ref43-13.,1,0.95,advanced
She go to school every day err41-0.,0,0.11,beginner
We will visiting museum tomorrow err64-3.,0,0.13,beginner
I have never see such beautiful sunset err78-4.,0,0.1,beginner
I have never seen such a beautiful sunset ref38-5.,1,0.95,advanced
Children should eat healthy food every day ref36-9.,1,0.95,advanced
The train arrive at station in schedule err24-13.,0,0.12,beginner
Reading book help improve you vocabulary err52-12.,0,0.09,beginner
The students completed their homework on time ref59-6.,1,0.95,advanced
Children should eat healthy food every day ref0-9.,1,0.95,advanced
The weather today is warmer than yesterday ref21-11.,1,0.95,advanced
Reading books helps improve your vocabulary ref15-13.,1,0.95,advanced
She go to school every day err53-0.,0,0.11,beginner
My sister bought a new laptop last week ref26-12.,1,0.95,advanced
The students complete their homework on time yesterday err36-5.,0,0.12,beginner
She speaks three languages fluently ref43-7.,1,0.95,advanced
They have been studying English for two years ref12-1.,1,0.95,advanced
Children should eat healthy food every day ref35-9.,1,0.95,advanced
I have never seen such a beautiful sunset ref28-5.,1,0.95,advanced
He works as a software engineer in Jakarta ref31-10.,1,0.95,advanced
They has been study English err48-1.,0,0.09,beginner
The students complete their homework on time yesterday err65-5.,0,0.12,beginner
